Cost £,dateStata,dateISO,region
,,,
20.308332,01/01/2020,01/01/2020,London
,,,
17.8125,01/01/2020,01/01/2020,South East (England)
,,,
16.023077,01/01/2020,01/01/2020,South West (England)
,,,
14.041667,01/01/2020,01/01/2020,East 
,,,
15.666667,01/01/2020,01/01/2020,East Midlands (England)
,,,
14.7,01/01/2020,01/01/2020,West Midlands (England)
,,,
14.45,01/01/2020,01/01/2020,Yorkshire and The Humber
,,,
14.3,01/01/2020,01/01/2020,North West (England)
,,,
13.483334,01/01/2020,01/01/2020,North East (England)
,,,
13.466666,01/01/2020,01/01/2020,Wales
,,,
16.125,01/01/2020,01/01/2020,Scotland
,,,
12.5,01/01/2020,01/01/2020,Northern Ireland
,,,
,,,
,,,
,,,
